Country,Life_satisfaction,GDP_per_capita,Population,Continent
Pakistan,4.515799999,4562.622559,220892331,Asia
Palau,0,15473.25195,18092,Oceania
Palestine,4.482500076,5394.071777,5101416,Asia
Panama,6.309100151,25389.8125,4314768,North America
Papua New Guinea,0,4063.732178,8947027,Oceania
Paraguay,5.578299999,12389.58691,7132530,South America
Peru,5.559100151,11260.8457,32971845,South America
Philippines,5.903600216,7953.581543,109581085,Oceania
Poland,6.122799873,32398.70508,37846605,Europe
Portugal,6.016300201,31961.77539,10196707,Europe
Qatar,0,85290.45313,2881060,Asia
Romania,6.477000237,28870.92969,19237682,Europe
Russia,5.458600044,26456.38867,145934460,Europe
Rwanda,3.268199921,2098.710449,12952209,Africa
Saint Kitts and Nevis,0,24319.36328,53192,North America
Saint Lucia,0,12048.92773,183629,North America
Saint Vincent and the Grenadines,0,12044.36523,110947,North America
Samoa,0,6416.77832,198410,Oceania
San Marino,0,59000,33938,Europe
Sao Tome and Principe,0,4051.604736,219161,Africa
Saudi Arabia,6.522799969,44328.18359,34813867,Asia
Senegal,5.04610014,3320.675537,16743930,Africa
Serbia,6.177999973,18255.05469,8737370,Europe
Seychelles,0,24427.71289,98340,Africa
Sierra Leone,3.573999882,1637.296631,7976985,Africa
Singapore,6.480199814,93397.04688,5850343,Asia
Slovakia,6.390699863,30509.76953,5459643,Europe
Slovenia,6.630099773,37050.54688,2078931,Europe
Solomon Islands,0,2482.871826,686878,Oceania
Somalia,0,1180.965942,15893219,Africa
South Africa,5.193900108,12665.83203,59308690,Africa
South Korea,5.935100079,42335.86719,51269183,Asia
S. Sudan,0,1600,11193729,Africa
Spain,6.476299763,36210.875,46754783,Europe
Sri Lanka,4.362199783,12536.94141,21413250,Asia
Sudan,0,3927.043945,43849269,Africa
Suriname,0,15864.55078,586634,South America
Sweden,7.384300232,50923.10938,10099270,Europe
Switzerland,7.511600018,68755.4375,8654618,Europe
Syria,0,2900,17500657,Asia
Taiwan,6.512499809,50500,23816775,Asia
Tajikistan,5.377099991,3657.573486,9537642,Asia
Tanzania,3.702399969,2635.356689,59734213,Africa
Thailand,5.891200066,17284.70117,69799978,Asia
Timor-Leste,0,3925.948242,1318442,Asia
Togo,4.112299919,2107.877686,8278736,Africa
Tonga,0,6346.999512,105697,Oceania
Trinidad and Tobago,0,23722.47852,1399491,North America
Tunisia,4.515999794,10260.06543,11818618,Africa
Turkey,4.74420023,28393.4668,84339067,Asia
Turkmenistan,5.474299908,18200,6031187,Asia
Tuvalu,0,4411.00293,11792,Oceania
Uganda,4.602600098,2175.031006,45741000,Africa
Ukraine,5.08409977,12375.92188,43733759,Europe
United Arab Emirates,6.576000214,63299.42188,9890400,Asia
United Kingdom,6.942500114,42675.78125,67886004,Europe
United States of America,6.976799965,59919.82031,331002647,North America
Uruguay,6.473599911,21608.42969,3473727,South America
Uzbekistan,6.062699795,7331.859863,33469199,Asia
Vanuatu,0,2854.29248,307150,Oceania
Venezuela,4.925499916,12500,28435943,South America
Vietnam,5.485000134,8200.332031,97338583,Asia
Yemen,4.196899891,2500,29825968,Asia
Zambia,3.759799957,3277.816406,18383956,Africa
Zimbabwe,2.995100021,3353.411377,14862927,Africa
